,Gas 2030,Smart 2030,Smart-40 2030,Smart-20 2030,Gas 2040,Smart 2040,Smart-40 2040,Smart-20 2040,Gas 2045,Smart 2045,Smart-40 2045,Smart-20 2045
Wind onshore,237.07727354963797,239.42834341714982,239.68623078835927,238.453342357038,340.64980780414413,344.65773603640673,341.12052994896163,335.7398793290137,346.5690559896208,347.01080525606864,351.80270303347174,347.4063291775209
Wind offshore,135.67451598313684,135.04370453907816,134.1725725913379,135.41809009265637,312.1312903563771,313.8838336544932,306.1386711348253,308.01270512556243,357.5536595515664,361.24739939391134,356.23648103257534,360.9050220875746
Solar,208.67427054265352,205.46717138355552,205.3440140206959,205.3216839476873,352.09071318977664,355.05717447864697,354.29007081557165,354.933527388289,379.26696254355005,386.5047398885387,387.72153080486925,388.788351060359
Biomass,9.137405739710687,9.880779772673764,9.634947694768758,9.89001561026732,1.1935910617595917,1.066472898828927,0.7738199797787895,0.7272917636262695,0.7042363364076127,0.6999652189437355,0.39283522683779315,0.3224681304787859
Waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,16.985276308766434,16.904221418291957,16.899028525226406,16.90077749980063,17.007078677316372,16.999645783583997,16.99652371095434,16.996185434800605,17.00966692514609,17.00834956754735,17.00735535998695,16.99131881789637
Battery,30.162779860553705,22.76202309488521,22.936394450715788,22.853893690504734,51.381849189774094,81.50369652573374,82.74641582489862,89.7556010140194,55.55282091428398,97.41814150226115,113.08622044178045,125.65962554268519
PHS,3.9064188547764456,3.6822798498083453,3.6907254768223074,3.6898548184358124,3.2809629242516296,1.8023791134850269,1.915037863935871,1.9012378642203478,3.0003953538967028,1.6810783639486748,1.6155410604839124,1.5540034775029608
DSM load shifting,0.0,4.954165373380335,4.989005026671043,4.955221519013547,0.0,10.361164097222272,10.00973691951256,9.672534267573099,0.0,13.731451402950562,13.196276037670131,12.79005215312783
DSM load shedding,0.0,0.06835175774539481,0.08918268980350133,0.09092847168733252,0.0,0.22197578081683647,0.1924726391592214,0.14537080133241193,0.0,0.32844562433201363,0.3206639225405607,0.2924741221484018
Import,53.6641538193645,53.20843639837038,53.273304683539294,53.10733410097332,76.43841111650181,77.55505965079786,72.40654060750464,68.43914079767244,81.25866446326945,75.42554272133299,67.25230583713143,64.37360762214595
Natural gas,35.44109205672883,32.96193298622939,32.71851175904659,32.9646323859699,11.976674525011225,9.74891572041272,7.189479377633489,5.574554180994416,0.6897669274338454,0.737192047394997,0.4930204216412284,0.6866490148641698
hydrogen,5.52799681540063e-05,0.0006482050069081872,0.0008812443952565384,0.0008784415466428075,20.824445657040492,11.611757846759337,5.393313399018856,2.800164176569617,24.4121200855721,12.19355718451691,5.788972296568938,3.140130518617493
coal/oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electricity agriculture,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086,-3.7219657533788086
electricity industry,-236.91564,-234.24947999999992,-234.24947999999992,-236.91564,-298.35323999999986,-292.1018400000001,-292.1018400000001,-298.35323999999986,-325.32120000000015,-317.32272,-317.32272,-325.32120000000015
electricity GHD/Private Haushalte,-227.09497332583675,-227.09497332583675,-227.09497332583675,-227.09497332386817,-227.09497332583675,-227.09497332583675,-227.09497332583675,-227.09497332386817,-227.09497332583675,-227.09497332583675,-227.09497332583675,-227.09497332386817
electrolysis,-12.775771656954998,-12.216006494817144,-12.247445923204848,-12.160706777396072,-206.52966917850043,-208.890491558191,-206.52527265423035,-198.97678193659615,-272.9693050640407,-243.64741951632902,-224.10711694975757,-216.96509454448423
BEV charger,-69.08545238023615,-69.08084893499205,-69.07654414867964,-69.07706721844849,-184.77070758892256,-184.77061783545375,-184.68072506516725,-184.6092598906919,-192.48079011847346,-192.42049075618021,-192.28056160794048,-192.1559597173023
resistive heat,-25.386620349681525,-19.905071703385524,-18.201658218881732,-18.085208365750024,-45.949142350518855,-38.30635489724508,-17.545332278302713,-6.093985230349682,-30.08785803000641,-28.54113733045954,-11.656171298621361,-5.630103063075529
DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat pump,-40.98407148181039,-45.79547833319952,-46.159130618970096,-45.783963880776874,-117.66959394623545,-126.59939815664407,-99.34747653130086,-79.74185662564587,-124.1774681449931,-129.51611550516043,-108.47773988600886,-91.21133246428465
DSM transform charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHS charger,-3.9064188547764456,-3.6822798498083453,-3.6907254768223074,-3.6898548184358124,-3.2809629242516296,-1.8023791134850269,-1.915037863935871,-1.9012378642203478,-3.0003953538967028,-1.6810783639486748,-1.6155410604839124,-1.5540034775029608
battery charger,-31.419562354425274,-23.710387503689514,-23.891957382792242,-23.80603202173136,-53.52275957260831,-84.89967407992195,-86.19417378220334,-93.49541131621946,-57.867521785699815,-101.47721384396378,-117.79813531093905,-130.89542627470388
export power,-53.78931995027328,-53.28855276707343,-53.35468086566856,-53.18030067319694,-50.593897020739355,-51.478034775440236,-56.50138050213175,-61.0311205898107,-48.33094191527147,-53.16031069612865,-62.17649897804415,-66.05857305290681
