,Gas 2030,Smart 2030,Smart-40 2030,Smart-20 2030,Gas 2040,Smart 2040,Smart-40 2040,Smart-20 2040,Gas 2045,Smart 2045,Smart-40 2045,Smart-20 2045
Wind onshore,115.00000000093911,115.00000000910111,115.0000000054829,115.00000000770153,159.0000000004948,159.00000000046123,159.00000000093323,159.0000000015936,160.00000000015027,160.00000000335254,160.00000000278658,160.00000000560254
Wind offshore,30.000000000375614,30.00000000364011,30.000000002192873,30.000000003080167,66.00000000020331,66.00000000021642,66.00000000039695,66.00000000062775,75.50000000008554,75.50000000164567,75.50000000140489,75.50000000280379
Solar,215.00000000601014,215.0000000582466,215.00000003509027,215.0000000492892,366.0000000029992,366.00000000329953,366.0000000065315,366.00000001019345,400.0000000007627,400.00000002030936,400.00000001648505,400.0000000336156
Biomass,4.661773169771786,4.66110048855974,4.624844832103689,4.602814992454017,0.8932431868898681,0.8932389277837015,0.8932425080219651,0.8932439369670158,0.5339078194285237,0.5338890035839249,0.5339050591479977,0.5339072114179096
Waste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585,3.06097585
Battery,16.67093338566604,27.966370804711644,27.91659964987408,27.870468512639253,31.335450196253294,98.07278119972251,94.41369847131796,112.23253749801009,33.74914421034771,128.55556890762676,126.78576289806975,140.99984666178273
PHS,11.710798320000002,11.710798320000002,11.710798320000002,11.71079832,11.710798320000002,11.710798320000002,11.710798320000002,11.71079832,11.710798320000002,11.710798320000002,11.710798320000002,11.71079832
DSM load shifting,0.0,2.5815778451605986,2.5917487601068183,2.5813963914623628,0.0,7.682772779239047,7.598324155772197,7.59951825301499,0.0,10.287772697141053,10.185962278512473,10.119580125944625
DSM load shedding,0.0,1.5822392943612378,1.585524084023325,1.5862050991151058,0.0,2.6309840139344627,2.630988791130095,2.630993691035374,0.0,2.9999432438380267,2.9999843608612835,2.9999872175733224
Import,27.77674846070257,27.758843286176067,27.80161791874427,27.77411812236384,32.45389446802914,32.16678582327293,31.636032160788616,31.834920068999594,32.45389581886053,34.9568477295664,34.04493744750199,32.746311210264246
Natural gas,15.88906173560649,15.64437869625609,15.645539063823275,15.645931139801382,12.136276396733196,12.136276205541686,12.136276321917933,12.136276365541704,1.5275792660854308,1.5275787522136481,1.527579092179046,2.8992186957382544
hydrogen,7.660264522338017e-05,0.0019443280243428317,0.003618418224668109,0.003345792891069928,88.02404718590284,68.03999526587486,39.521998844196595,19.78199928270083,90.43525362149498,68.0399991962637,39.52200006695361,19.78200399145757
coal/oil,4.4935799138175785,4.493576881908765,4.493808384917986,4.49375237834942,0.5558604837079134,0.5550839956262887,0.5558604711493316,0.5558604861154499,-0.0,-0.0,-0.0,0.4189999848923148
